Date,Price,Open,High,Low,Vol.,Change %
01/07/2013,1685.73,1609.78,1698.78,1604.57,-,0.0495
01/06/2013,1606.28,1631.71,1654.19,1560.33,-,-0.015
01/05/2013,1630.74,1597.55,1687.18,1581.28,-,0.0208
01/04/2013,1597.57,1569.18,1597.57,1536.03,-,0.0181
01/03/2013,1569.19,1514.68,1570.28,1501.48,-,0.036
01/02/2013,1514.68,1498.11,1530.94,1485.01,-,0.0111
01/01/2013,1498.11,1426.19,1509.94,1426.19,-,0.0504
01/12/2012,1426.19,1416.34,1448,1398.11,-,0.0071
01/11/2012,1416.18,1412.2,1434.27,1343.35,-,0.0028
01/10/2012,1412.16,1440.9,1470.96,1403.28,-,-0.0198
01/09/2012,1440.67,1406.54,1474.51,1396.56,-,0.0242
01/08/2012,1406.58,1379.32,1426.68,1354.65,-,0.0198
01/07/2012,1379.32,1362.33,1391.74,1325.41,-,0.0126
01/06/2012,1362.16,1309.87,1363.46,1266.74,-,0.0396
01/05/2012,1310.33,1397.86,1415.32,1291.98,-,-0.0627
01/04/2012,1397.91,1408.47,1422.38,1357.38,-,-0.0075
01/03/2012,1408.47,1365.9,1419.15,1340.03,-,0.0313
01/02/2012,1365.68,1312.45,1378.04,1312.45,-,0.0406
01/01/2012,1312.41,1258.86,1333.47,1258.86,-,0.0436
01/12/2011,1257.6,1246.91,1269.37,1202.37,-,0.0085
01/11/2011,1246.96,1251,1277.55,1158.66,-,-0.0051
01/10/2011,1253.3,1131.21,1292.66,1074.77,-,0.1077
01/09/2011,1131.42,1219.12,1229.29,1114.22,-,-0.0718
01/08/2011,1218.89,1292.59,1307.38,1101.54,-,-0.0568
01/07/2011,1292.28,1320.64,1356.48,1282.86,-,-0.0215
01/06/2011,1320.64,1345.2,1345.2,1258.07,-,-0.0183
01/05/2011,1345.2,1365.21,1370.58,1311.8,-,-0.0135
01/04/2011,1363.61,1329.48,1364.56,1294.7,-,0.0285
01/03/2011,1325.83,1328.64,1332.28,1249.05,-,-0.001
01/02/2011,1327.22,1289.14,1344.07,1289.14,-,0.032
01/01/2011,1286.12,1257.62,1302.67,1257.62,-,0.0226
01/12/2010,1257.64,1186.6,1262.6,1186.6,-,0.0653
01/11/2010,1180.55,1185.71,1227.08,1173,-,-0.0023
01/10/2010,1183.26,1143.49,1196.14,1131.87,-,0.0369
01/09/2010,1141.2,1049.72,1157.16,1049.72,-,0.0876
01/08/2010,1049.33,1107.53,1129.24,1039.7,-,-0.0474
01/07/2010,1101.6,1031.1,1120.95,1010.91,-,0.0688
01/06/2010,1030.71,1087.3,1131.23,1028.33,-,-0.0539
01/05/2010,1089.41,1188.58,1205.13,1040.78,-,-0.082
01/04/2010,1186.69,1171.23,1219.8,1170.69,-,0.0148
01/03/2010,1169.43,1105.36,1180.69,1105.36,-,0.0588
01/02/2010,1104.49,1073.89,1112.42,1044.5,-,0.0285
01/01/2010,1073.87,1116.56,1150.45,1071.59,-,-0.037
01/12/2009,1115.1,1098.89,1130.38,1085.89,-,0.0178
